img    rxn_coord       energy       f_para
  0     0.000000     0.000000     0.001085
  1     0.219879     0.004143    -0.035174
  2     0.440586     0.016182    -0.073706
  3     0.657157     0.036156    -0.110770
  4     0.865953     0.065002    -0.176512
  5     1.067308     0.104820    -0.229195
  6     1.262481     0.153831    -0.272770
  7     1.453036     0.207962    -0.267146
  8     1.643670     0.257202    -0.244380
  9     1.839731     0.306877    -0.318302
 10     2.047873     0.376984    -0.497450
 11     2.266382     0.497360    -0.717462
 12     2.495557     0.681038    -1.199477
 13     2.738942     1.025314    -2.153166
 14     2.998399     1.493195    -0.990253
 15     3.247979     1.283699     2.484415
 16     3.484270     0.539040     3.487665
 17     3.707725    -0.283539     3.371538
 18     3.921219    -0.961456     2.529711
 19     4.138423    -1.462471     1.781628
 20     4.373768    -1.807045     1.016895
 21     4.654785    -1.948471    -0.003048
