img    rxn_coord       energy       f_para
  0     0.000000     0.000000     0.002602
  1     0.230496     0.001892    -0.017568
  2     0.456993     0.007812    -0.036780
  3     0.678229     0.017662    -0.051443
  4     0.893191     0.031113    -0.080596
  5     1.099390     0.048615    -0.094158
  6     1.297096     0.068321    -0.102582
  7     1.490860     0.088867    -0.107264
  8     1.688122     0.109444    -0.101675
  9     1.899889     0.130585    -0.108540
 10     2.135629     0.158409    -0.140324
 11     2.388700     0.196465    -0.191077
 12     2.678471     0.270767    -0.436283
 13     3.077659     0.571510    -0.289260
 14     3.719925     0.787659    -0.055634
 15     4.243591     0.564384     0.659147
 16     4.435139     0.189209     2.030697
 17     4.618479    -0.382568     3.439584
 18     4.820842    -1.077461     3.085307
 19     5.037221    -1.585236     1.641742
 20     5.313718    -1.857079     0.622784
 21     5.677551    -1.948471    -0.001232
