img    rxn_coord       energy       f_para
  0     0.000000     0.000000     0.001851
  1     0.231082     0.016968    -0.086452
  2     0.457643     0.040146    -0.107785
  3     0.678729     0.065155    -0.141973
  4     0.893819     0.097626    -0.195045
  5     1.100798     0.138206    -0.107939
  6     1.298501     0.158401     0.009107
  7     1.490357     0.156448     0.000182
  8     1.685216     0.147507     0.015458
  9     1.893489     0.152557    -0.046542
 10     2.123372     0.207924    -0.742967
 11     2.378901     0.647545    -0.841642
 12     2.676414     0.969437     1.632975
 13     3.036985     0.966179     0.994951
 14     3.368063     1.097572     0.152507
 15     3.553712     0.819878     2.634188
 16     3.736137     0.293564     2.929560
 17     3.942339    -0.356010     3.420716
 18     4.150487    -1.076553     2.968615
 19     4.367289    -1.568260     1.567670
 20     4.643476    -1.847229     0.651682
 21     5.000379    -1.948471    -0.001349
